,question,answer,tags,intent,label_tag,label_intent,words
21,What steps should I take if my deposited amount does not reflect promptly in my account?,"In instances where your deposit is not promptly reflected in your account, assess the transaction status and verify the accuracy of the provided details. If the issue persists, promptly reach out to your bank's customer support for resolution.",Deposit Issue,deposits,39,1,what step i take deposited amount reflect promptly account
22,Can I give cash to put in someone else's account?,"Putting cash in someone else's account might have rules. Usually, banks want cash to go into the account of the person who owns it. Check with your bank to know what they say about giving cash to others.",Cash Deposit,deposits,27,1,can i give cash put someone else account
23,Can I authorize others to use my credit card too?,"Yes, you can. Many credit cards allow you to add authorized users to your account. However, keep in mind that you are still responsible for making the payments.",Authorized Users,cards,15,0,can i authorize others use credit card
24,What do I do if there's a mistake on my credit card bill?,"If you see a charge that you didn't make or if there's a mistake, contact the bank's customer service right away. They'll help you fix it by starting a dispute or asking for more info.",Dispute,cards,42,0,what i mistake credit card bill
25,"What is the procedure for the initial login to the mobile app, and what credentials are required?","For the initial login, you'll need to enter your online banking credentials, including your designated username and password. Some banks may incorporate additional security measures such as one-time passcodes or biometric authentication.",App Login,mobile app,11,4,"what procedure initial login mobile app , credential required"
26,"Is it possible to deposit checks using the mobile app, and could you provide details on the process?","Certainly, many mobile apps support the depositing of checks. To deposit a check, endorse it, capture photos of both sides, and submit them through the app. The amount from the deposited check will then be credited to your account.",App Deposit Check,mobile app,7,4,"is possible deposit check using mobile app , could provide detail process"
27,"Can I make an international money transfer, and what details are required?","Yes, you can make international money transfers through your bank. For such transfers, you typically need the recipient's full name, address, SWIFT/BIC code, and IBAN (if applicable). Additional details may be required based on the destination country.",International Transfer,money transfer,58,5,"can i make international money transfer , detail required"
28,Is it safe to use online banking or mobile apps for money transfers?,"Yes, online banking and mobile apps use secure encryption and authentication protocols to safeguard money transfers. It's essential to follow recommended security practices, such as using strong passwords and keeping your login credentials confidential.",Online Banking,money transfer,73,5,is safe use online banking mobile apps money transfer
29,What if I can't make a payment on time?,"If you think you'll be late, talk to the loan officers. They might help you figure something out. It's important to communicate before the due date to avoid problems.",Payment Assistance,loans,77,3,what i make payment time
30,Is it permissible to deposit cash into another person's account?,"Depositing cash into someone else's account may be subject to restrictions and prerequisites. Generally, banks prefer cash deposits into the account holder's own account. Verify your bank's policy regarding third-party cash deposits.",Cash Deposit,deposits,27,1,is permissible deposit cash another person account
31,How do I go about applying for a new bank card?,"To obtain a new card, you can submit an application online through the bank's website or visit a branch. The application process involves providing personal details and, in some cases, financial information.",Card Application,cards,23,0,how i go applying new bank card
32,Can I customize my account settings through the mobile app?,"Yes, the mobile app often allows you to customize account settings, such as notification preferences, security settings, and contact information. Explore the app's settings or account management section to make adjustments according to your preferences.", Account Settings,mobile app,0,4,can i customize account setting mobile app
33,Is there a fee for foreign transactions using my bank card abroad?,Certain bank cards may incur fees for foreign transactions. Refer to your card's terms or contact customer service to understand the charges associated with using your card in foreign countries.,Foreign Transaction,cards,49,0,is fee foreign transaction using bank card abroad
34,How secure is the mobile app for banking transactions?,"The mobile app employs robust security measures, including encryption, multi-factor authentication, and secure login protocols, to ensure the safety of your banking transactions. It's important to follow recommended security practices and keep your login credentials confidential.",App Security,mobile app,12,4,how secure mobile app banking transaction
35,What should I do if my deposit is not showing up in my account?,"If your deposit is not reflecting in your account, check the transaction status and ensure that you provided the correct account details. If the issue persists, contact your bank's customer support for assistance.",Deposit Issue,deposits,39,1,what i deposit showing account
36,Can I deposit cash into someone else's account?,"Depositing cash into someone else's account may have restrictions and requirements. Generally, banks prefer cash deposits into the account holder's own account. Check with your bank for their specific policy on third-party cash deposits.",Cash Deposit,deposits,27,1,can i deposit cash someone else account
37,Is there a fee for using the bank's remote deposit capture service?,"Some banks may charge a fee for using their remote deposit capture service, especially for business accounts. Check with your bank to understand any associated fees and whether they offer this service for personal accounts.",Remote Deposit,deposits,82,1,is fee using bank remote deposit capture service
38,How do I activate my new bank card?,Activation of your new card can typically be done by calling a designated number or through online banking. Activation instructions are usually provided with the card.,Card Activation,cards,22,0,how i activate new bank card
39,What should I do if my deposit is not showing up in my account?,"If your deposit is not reflecting in your account, check the transaction status and ensure that you provided the correct account details. If the issue persists, contact your bank's customer support for assistance.",Deposit Issue,deposits,39,1,what i deposit showing account
40,What distinguishes a wire transfer from a slower ACH transfer?,"A wire transfer is faster but usually more expensive, commonly used for international transactions. A slower ACH transfer is an electronic bank-to-bank transfer within the country, typically with lower fees but longer processing times.",Wire and ACH,money transfer,94,5,what distinguishes wire transfer slower ach transfer
41,What's the difference between sending money within my country and sending it to another country?,"Sending money within your country is a domestic transfer, and sending it to another country is international. International transfers might have different rules, fees, and how long they take.",Domestic and International,money transfer,43,5,what difference sending money within country sending another country
42,Is it possible to send money to someone without a bank account?,"Sending money to someone without a bank account can be challenging. Consider alternative methods like mobile payment apps, prepaid cards, or money transfer services offering cash pickup options.",Transfer Without Account,money transfer,93,5,is possible send money someone without bank account
43,Are there charges associated with utilizing the remote deposit capture service provided by the bank?,"Certain banks may levy fees for utilizing their remote deposit capture service, particularly concerning business accounts. Check with your bank to comprehend any associated fees and ascertain whether this service extends to personal accounts.",Remote Deposit,deposits,82,1,are charge associated utilizing remote deposit capture service provided bank
44,"What features are available on the bank's mobile app, and how can I use them?","The mobile app comes with a variety of features, including checking account balances, transferring funds, paying bills, depositing checks, and receiving transaction alerts. Explore these features through the app's menu for seamless use.",App Features,mobile app,8,4,"what feature available bank mobile app , i use"
45,What is the interest rate for the loan?,The interest rate depends on the type of loan and your creditworthiness. It is advisable to check our current rates for accurate information.,Interest Rate,loans,57,3,what interest rate loan
46,"In the scenario of a bank failure, is the deposit safeguarded by the bank's insurance?","Indeed, in many jurisdictions, government-backed insurance programs safeguard deposits in the event of a bank failure. Familiarize yourself with the coverage limits provided by deposit insurance in your region and understand the associated terms.",Deposit Insurance,deposits,38,1,"in scenario bank failure , deposit safeguarded bank insurance"
47,Good day!,Good day! I'm here to assist you with any questions or transactions you have. What can I do for you?,Greetings,greeting,51,2,good day
48,Can I use my bank card for online purchases?,"Yes, most bank cards can be used for online purchases. Ensure that your card is activated for online transactions, and be cautious about sharing card details on secure websites only.",online Purchases,cards,96,0,can i use bank card online purchase
49,"Hey, what's up?","Hey! Not much, just here to help you with anything related to your bank accounts. How can I assist you today?",Greetings,greeting,51,2,"hey ,"
50,What should I do if I forget my mobile app password or username?,"If you forget your password or username, the app usually provides an option for password or username recovery. Follow the prompts on the login screen or contact customer support for assistance.",Password Recovery,mobile app,76,4,what i i forget mobile app password username
51,Is my deposit protected by the bank's insurance in case of a bank failure?,"Yes, in many countries, deposits are protected by government-backed insurance programs in case of a bank failure. Verify the deposit insurance coverage limit in your country and understand the terms of protection provided.",Deposit Insurance,deposits,38,1,is deposit protected bank insurance case bank failure
52,Hello!,Hi! Welcome! How may I support you with your banking tasks?,Greetings,greeting,51,2,hello
53,Is it safe to rely on online banking or mobile apps for executing money transfers?,"Yes, online banking and mobile apps utilize secure encryption and authentication protocols to safeguard money transfers. Adherence to recommended security practices, including using strong passwords, ensures a secure transaction experience.",Online Banking,money transfer,73,5,is safe rely online banking mobile apps executing money transfer
54,Can the mobile banking app be utilized for the deposit of checks or money orders?,"Certainly, many banks afford the convenience of depositing checks or money orders through their mobile banking apps. Adhere to the application's guidelines for mobile check deposits and ensure the appropriate endorsement on the check.",Check Deposit,deposits,28,1,can mobile banking app utilized deposit check money order
55,"Does using the mobile app incur any fees, and where can I find the fee details?","While the majority of banks offer their mobile apps for free, it's advisable to review the fee schedule for specific transactions or services. You can typically find this schedule within the app or on the bank's official website.",App Fees,mobile app,9,4,"doe using mobile app incur fee , i find fee detail"
56,Can I pay extra money to finish the loan sooner?,Many loans allow extra payments to pay off the loan faster. It's good to check with the loan officer and see if there are any charges for paying early.,Early Payment,loans,44,3,can i pay extra money finish loan sooner
57,What loan options are available at the bank?,"The bank provides a range of loans, including personal, home, auto, and business loans.",Personal Loans,loans,78,3,what loan option available bank
58,How does a wire transfer differ from an ACH transfer?,"A wire transfer is faster but usually more expensive, commonly used for international transfers. ACH (Automated Clearing House) transfers are electronic bank-to-bank transfers within the same country, typically slower but with lower fees.",Wire and ACH,money transfer,94,5,how wire transfer differ ach transfer
59,How is the interest rate determined for a loan?,Interest rates are influenced by factors like loan type and creditworthiness. It's recommended to check our current rates for accurate details.,Interest Rate,loans,57,3,how interest rate determined loan
60,"Can I initiate and manage bill payments through the mobile app, and what's the setup process?","Certainly, the mobile app supports bill payments. To initiate payments, navigate to the 'Bill Pay' or 'Payments' section, add your payees, and schedule payments. Provide necessary information for certain payees, and you're ready to go.",Bill Payment,mobile app,19,4,"can i initiate manage bill payment mobile app , setup process"
61,How can I acquire a new bank card?,"To obtain a new card, you can submit an application either online or at the bank. You'll need to provide personal information and, in some cases, details about your finances.",Card Application,cards,23,0,how i acquire new bank card
62,What information is needed when making a deposit?,"When making a deposit, you typically need to provide essential details such as your account number and, if required, your account name. If you're depositing a check, make sure to endorse it properly by signing the back.",Deposit Information,deposits,37,1,what information needed making deposit
63,Can I connect my bank card to apps on my phone?,"Yes, you can connect many bank cards to apps like Apple Pay, Google Pay, or Samsung Pay. Follow the app's steps to add your card and make safe payments using your phone.", Linking Cards,cards,1,0,can i connect bank card apps phone
64,What do I need to provide for a bank transfer?,"For a bank transfer, you'll need the other person's account details like their account number, bank name, and routing number or IBAN. Double-check to make sure everything is right.",Bank Transfer,money transfer,18,5,what i need provide bank transfer
65,What measures are in place to ensure the safety of my bank card?,"Banks employ various security measures, including codes, fraud monitoring, and double-checking, to protect your card and account information. Keep an eye on your account and report any suspicious activity to the bank.",Security Measures,cards,84,0,what measure place ensure safety bank card
66,"If the bank has problems, is my money still safe in my account?","Yes, in many places, if the bank has problems, your money is safe. The government usually has a plan to protect your money if the bank can't. Learn about this plan to make sure you understand how your money is safe.",Deposit Insurance,deposits,38,1,"if bank problem , money still safe account"
67,"In case I forget my password or username, outline the steps for recovery.","If you forget your password or username, the app typically provides a recovery option. Follow the instructions on the login screen or reach out to customer support for assistance.",Password Recovery,mobile app,76,4,"in case i forget password username , outline step recovery ."
68,Is it possible to link my bank card to mobile applications?,"Yes, many bank cards can be linked to mobile applications like Apple Pay, Google Pay, or Samsung Pay. Follow the app's instructions to add your card and make secure payments using your mobile device.", Linking Cards,cards,1,0,is possible link bank card mobile application
69,Can I include additional authorized users on my credit card account?,"Many credit cards allow you to add authorized users to your account. Adding an authorized user permits them to make purchases using the card, with the primary account holder responsible for payments. Check with the bank for the necessary procedures.",Authorized Users,cards,15,0,can i include additional authorized user credit card account
70,What should I do if I want to cancel a money transfer in progress?,"To cancel a money transfer, contact your bank immediately. The ability to cancel may depend on the processing stage, and some banks may charge a cancellation fee, so act promptly.",Cancellation Transfer,money transfer,21,5,what i i want cancel money transfer progress
71,What if I put in a check that doesn't have enough money?,"If you put in a check that doesn't have enough money, the bank will cancel it, and you might need to pay a fee. It's important to check if the check is good before you put it in your account.",Bounced Check,deposits,20,1,what i put check enough money
72,What types of cards does the bank provide to customers?,"The bank offers various card options, including credit cards, debit cards, and prepaid cards.",Bank Cards,cards,17,0,what type card bank provide customer
73,What steps should I take to activate my new bank card?,Activation of your new card can typically be done by calling a specified number or through online banking. Instructions for activation are usually provided with the card.,Card Activation,cards,22,0,what step i take activate new bank card
74,What are the consequences of missing a loan payment?,"Missing a payment can result in late fees and adversely affect your credit score. Communicate with our loan officers if you anticipate difficulties in making a payment, as they may provide guidance on alternative arrangements.",Payment Assistance,loans,77,3,what consequence missing loan payment
75,What do I do if I encounter technical issues with the mobile app?,"If you experience technical issues, such as app crashes or login problems, you can try troubleshooting steps like updating the app, checking your internet connection, or reinstalling the app. If issues persist, contact the bank's technical support for assistance.",Technical Glitches,mobile app,85,4,what i i encounter technical issue mobile app
76,Are there any restrictions on what I can use a money transfer for?,"Banks typically do not impose restrictions on the purpose of a money transfer. Ensure compliance with local and international regulations, especially for large or international transactions, to avoid any issues.",Transfer Purpose,money transfer,91,5,are restriction i use money transfer
77,What criteria do I need to meet to qualify for a bank card?,"Qualification criteria may involve factors like age, income, and credit history. Specific requirements vary depending on the card type. For detailed information, consult the bank's website or reach out to customer service.",Eligibility Criteria,cards,45,0,what criterion i need meet qualify bank card
78,What types of deposits does the bank accept?,"Banks typically accept various deposit types, encompassing cash, checks, money orders, and electronic transfers. Confirm that your chosen deposit type aligns with the bank's policies and regulations.",Deposit Types,deposits,41,1,what type deposit bank accept
79,Can the mobile banking app be used for depositing checks or money orders?,"Indeed, many banks offer the convenience of depositing checks or money orders through their mobile banking apps. Follow the application's guidelines for mobile check deposits and ensure proper endorsement on the check.",Check Deposit,deposits,28,1,can mobile banking app used depositing check money order
80,"Can I execute an international money transfer, and what information is essential?","Indeed, international money transfers are possible through your bank. For such transfers, you usually need the recipient's full name, address, SWIFT/BIC code, and IBAN (if applicable). Additional information may be required for specific countries.",International Transfer,money transfer,58,5,"can i execute international money transfer , information essential"
81,Are there predefined limits on the amount I can transfer or deposit using the mobile app?,"Yes, there are often limits on the amount you can transfer or deposit through the mobile app. Review the app's terms and conditions or contact customer service to understand specific limits and any associated fees for surpassing them.",Mobile App Limits,mobile app,70,4,are predefined limit amount i transfer deposit using mobile app
82,Are there any yearly charges associated with these bank cards?,"Certain cards may have an annual fee, while others may not. Review the terms and conditions of the specific card you're interested in to understand any associated fees.",Annual Fee,cards,5,0,are yearly charge associated bank card
83,Can I put money from another country in my account?,"Putting money from another country in your account might be okay, but it depends on your bank. Some banks take money from other countries, while others want it to change into the local money first. Ask your bank what to do.",Foreign Currency,deposits,48,1,can i put money another country account
84,What steps should I take if I encounter an issue with a transaction on my bank card?,"If you come across a problem with a transaction, such as being charged twice or an incorrect amount, contact the bank's customer service. They will assist you in resolving the issue, which may involve initiating a dispute or providing additional information.",Card Transaction,cards,25,0,what step i take i encounter issue transaction bank card
85,Can I deposit cash into someone else's account?,"Depositing cash into someone else's account may have restrictions and requirements. In most cases, banks prefer cash deposits into the account holder's own account. Check with your bank for their specific policy on third-party cash deposits.",Cash Deposit,deposits,27,1,can i deposit cash someone else account
86,Can I deposit foreign currency into my account?,"Depositing foreign currency into your account may be possible, but it depends on your bank's policies. Some banks may accept foreign currency deposits, while others may require currency conversion. Contact your bank for guidance.",Foreign Currency,deposits,48,1,can i deposit foreign currency account
87,How long does it take for a deposited check to clear?,"The clearing time for a deposited check can vary. It typically takes 1 to 5 business days, but it may be longer for large amounts or if the check is drawn from an out-of-town bank. Check with your bank for specific details.",Clear Checked Deposit,deposits,29,1,how long take deposited check clear
88,How can I set or modify the PIN for my bank card?,You can set or modify your card's PIN at an ATM or through online banking. Follow the instructions provided by the bank to ensure the security of your PIN.,PIN Setup,cards,74,0,how i set modify pin bank card
89,Are there any special promotions or discounts on loan rates?,Banks may offer promotions or discounts on loan rates during certain periods. It's advisable to check with our loan officers for any ongoing promotions or special offers that you may qualify for.,Loan Discounts,loans,63,3,are special promotion discount loan rate
90,How do I retract a money transfer that I've initiated?,"To cancel a money transfer, promptly contact your bank. The ability to cancel may depend on the processing stage. Keep in mind that some banks may charge a cancellation fee, so act quickly.",Cancellation Transfer,money transfer,21,5,how i retract money transfer i initiated
91,What's the timeframe I have to pay off my credit card balance without incurring extra charges?,"The grace period, allowing interest-free repayment, is the time between the end of your billing cycle and the due date. Review your credit card terms to understand the specific duration of your grace period.",Grace Period,cards,50,0,what timeframe i pay credit card balance without incurring extra charge
92,Walk me through the steps for transferring funds between my accounts using the mobile app.,"Transferring money between accounts is straightforward within the mobile app. Navigate to the 'Transfer' or 'Move Money' section, select the relevant accounts, input the desired amount, and follow the on-screen instructions to complete the transfer.",App Transfer Procedure,mobile app,14,4,walk step transferring fund account using mobile app .
93,What benefits or rewards come with my credit card?,"Credit cards often offer benefits such as cashback, reward points, or travel perks. Refer to your credit card's terms or contact customer service to understand these benefits and how to maximize them.",Card Benefits,cards,24,0,what benefit reward come credit card
94,How can I set up notifications for my bank card account?,"You can usually establish account notifications through online banking or the bank's mobile app. These alerts inform you about transactions, low balances, or other account activities to help you stay informed about your card usage.",Account Alerts,cards,3,0,how i set notification bank card account
95,Can I authorize others to use my credit card too?,"Yes, you can. Many credit cards allow you to add authorized users to your account. However, remember that you are still responsible for making the payments.",Authorized Users,cards,15,0,can i authorize others use credit card
96,How can I acquire and install the bank's mobile application on my device?,"Downloading and installing the bank's mobile app can be done by visiting the official app store for your device, such as the Apple App Store or Google Play Store.",App Installation,mobile app,10,4,how i acquire install bank mobile application device
97,Is providing collateral obligatory when applying for a loan?,"The necessity for collateral depends on the specific loan type. While secured loans may demand collateral, unsecured loans, like personal loans, typically do not necessitate this additional security.",Collateral,loans,30,3,is providing collateral obligatory applying loan
98,How do I go about requesting an increase or decrease in my credit card limit?,"To seek a change in your credit card limit, contact customer service or visit a branch. The bank will assess your financial situation and credit history before making a decision.",Credit Card Limit,cards,32,0,how i go requesting increase decrease credit card limit
99,How do I establish notifications for my bank card account?,"You can typically set up alerts through online banking or the bank's mobile app. These alerts inform you about transactions, low balances, or other account activities to help you stay informed about your card usage.",Account Alerts,cards,3,0,how i establish notification bank card account
100,Can I apply for a loan online?,"Yes, many banks offer online loan application processes for convenience. You can start the application online and may need to visit a branch for verification and documentation. Check our website or contact our loan department for details on the online application process.",Online Application,loans,72,3,can i apply loan online
101,Hi!,Hello! How can I help you with your banking today?,Greetings,greeting,51,2,hi
102,Can I schedule recurring transfers for regular payments?,"Certainly, many banks provide the option to schedule recurring transfers. You can set the frequency and amount, making it convenient for regular payments like bills or contributions to savings.",Recurring Transfers,money transfer,81,5,can i schedule recurring transfer regular payment
103,"Can I track the status of my money transfer, and how do I do that?","Yes, you can track the status of your money transfer. Check your transaction history in online banking or the mobile app, or contact customer support for updates on the transfer's progress.",Track Money Transfer,money transfer,87,5,"can i track status money transfer , i"
104,Hello!,Hello! I'm here for your banking questions. What can I assist you with today?,Greetings,greeting,51,2,hello
105,Good to see you!,Good to see you too! What do you need assistance with regarding your accounts?,Greetings,greeting,51,2,good see
106,How long do I have to repay the loan?,"Loan terms differ. Personal loans usually have shorter durations, while home loans might take longer. The loan officer will go over this with you during the application process.",Loan Duration,loans,64,3,how long i repay loan
107,"How can I update my contact information within the mobile app, and which details can be modified?","To update contact information, navigate to the 'Settings' or 'Profile' section in the mobile app. Look for an option to edit or update contact details, including your email address, phone number, and mailing address.",Contact Details Update,mobile app,31,4,"how i update contact information within mobile app , detail modified"
108,Morning!,Good morning! Ready to assist you with anything related to your banking. What do you need help with?,Greetings,greeting,51,2,morning
109,What happens if I provide incorrect information for a money transfer?,"Providing incorrect information can result in the transfer being delayed or rejected. Double-check all details, and if you realize an error, contact your bank immediately to rectify the information before processing.",Incorrect Information,money transfer,53,5,what happens i provide incorrect information money transfer
110,Hi!,Hello! How can I assist you with your banking needs today?,Greetings,greeting,51,2,hi
111,Can I set up recurring transfers for bills or savings?,"Yes, many banks offer the option to set up recurring transfers. You can specify the frequency and amount for bills or savings, making it convenient for regular payments.",Recurring Transfers,money transfer,81,5,can i set recurring transfer bill saving
112,Are there any rewards for depositing a large sum of money?,"Some banks offer rewards or incentives for depositing a large sum of money, especially for specific types of accounts. Inquire with your bank to learn about any promotional offers or benefits associated with substantial deposits.",Incentives or Bonuses,deposits,52,1,are reward depositing large sum money
113,Will I be charged extra if I pay off the loan early?,Some loans have fees for early repayment. It's important to read the loan agreement to understand any extra charges for paying off the loan before the agreed time.,Extra Charges,loans,46,3,will i charged extra i pay loan early
114,Can I link my bank card to mobile payment applications?,"Certainly, many bank cards can be linked to mobile payment applications like Apple Pay, Google Pay, or Samsung Pay. Follow the application's instructions to add your card and make secure payments using your mobile device.", Linking Cards,cards,1,0,can i link bank card mobile payment application
115,What's the duration of the loan or the repayment period?,"Loan terms differ; personal loans may have shorter terms, while home loans may extend over a longer period. Details will be discussed during the application process.",Loan Duration,loans,64,3,what duration loan repayment period
116,What happens if I miss a payment?,Missing a payment can result in late fees and negatively impact your credit score. It's crucial to communicate with our loan officers if you anticipate difficulty in making a payment. They may be able to provide guidance on alternative arrangements.,Payment Assistance,loans,77,3,what happens i miss payment
117,What do I do if I want to cancel a transfer I've already started?,"If you want to cancel a transfer, contact your bank right away. Sometimes there's a fee for canceling, so it's important to do it quickly.",Cancellation Transfer,money transfer,21,5,what i i want cancel transfer i already started
118,Can I make additional payments towards the loan principal?,"Many loans allow extra principal payments, aiding in faster repayment and potential interest savings. Confirm this with our loan officers and check for prepayment penalties.",Early Payment,loans,44,3,can i make additional payment towards loan principal
119,What is the difference between a savings account and a checking account for deposits?,"A savings account is typically designed for saving money and may offer a higher interest rate, while a checking account is more suitable for everyday transactions. Both accounts allow deposits, but they may have different features and restrictions.",Savings Account,deposits,83,1,what difference saving account checking account deposit
120,"Can I make a deposit at an ATM, and how does it work?","Yes, you can make a deposit at many ATMs. Follow the instructions on the ATM screen, insert your debit card (if required), and follow the prompts to deposit cash or checks. Some ATMs may have limitations on the types of deposits accepted.",ATM Deposit,deposits,2,1,"can i make deposit atm , work"
121,Can I view my transaction history and account statements in the mobile app?,"Yes, the mobile app typically provides access to your transaction history and account statements. You can find these details in the 'Transactions,' 'History,' or 'Statements' section of the app, depending on the app's interface.",App Transaction Access,mobile app,13,4,can i view transaction history account statement mobile app
122,Are there any fees associated with depositing money?,"Most banks do not charge fees for depositing money into your own account. However, it's advisable to check with your bank, as policies may vary, especially for specific types of deposits or account categories.",Deposit Fees,deposits,35,1,are fee associated depositing money
123,How do I update my contact information through the mobile app?,"To update your contact information, navigate to the 'Settings' or 'Profile' section of the mobile app. Look for an option to edit or update your contact details, including email address, phone number, and mailing address.",Contact Details Update,mobile app,31,4,how i update contact information mobile app
124,How do I transfer money from my bank account?,"To move money from your bank account, you can use online banking, the bank's mobile app, ATMs, or visit a branch. Choose the method that suits you best.",Money Tranfer,money transfer,71,5,how i transfer money bank account
125,"If I decide to retract a money transfer, what steps should I follow?","To cancel a money transfer, promptly reach out to your bank. Cancellation possibilities depend on the processing stage, with some banks charging a cancellation fee. Act swiftly to mitigate potential charges.",Cancellation Transfer,money transfer,21,5,"if i decide retract money transfer , step i follow"
126,Will there be extra charges for using my bank card in a foreign country?,Some bank cards may incur fees for foreign transactions. Check your card's details or contact customer service to understand the charges associated with using your card abroad.,Foreign Transaction,cards,49,0,will extra charge using bank card foreign country
127,What kinds of cards does the bank offer to its customers?,"The bank provides various card options, including credit cards, debit cards, and prepaid cards.",Bank Cards,cards,17,0,what kind card bank offer customer
128,"What steps should I follow for the initial login to the mobile app, and what credentials do I need?","For your first login, input your online banking credentials, including your designated username and password. Some banks may incorporate additional security measures like one-time passcodes or biometric authentication.",App Login,mobile app,11,4,"what step i follow initial login mobile app , credential i need"
129,"Can I make a deposit at an ATM, and how does it work?","Yes, you can make a deposit at many ATMs. Follow the instructions on the ATM screen, insert your debit card (if required), and follow the prompts to deposit cash or checks. Some ATMs may have limitations on the types of deposits accepted.",ATM Deposit,deposits,2,1,"can i make deposit atm , work"
130,"Is the mobile application compatible with both iOS and Android devices, and how can I obtain it?","Certainly, the bank's mobile app is designed to function on both iOS (Apple) and Android devices. You can obtain the app by downloading it from the respective app stores for your device.",App Compatibility,mobile app,6,4,"is mobile application compatible io android device , i obtain"
